"Locus Tag","Product","Pathway Name","Pathway Xref","Pathway Database","Version","ECO code","ECO term","PMID",""
"PA3629","alcohol dehydrogenase class III","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3635","enolase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA3635","enolase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3635","enolase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3761","N-Acetyl-D-Glucosamine phosphotransferase system transporter","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4022","hydrazone dehydrogenase, HdhA","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4150","probable dehydrogenase E1 component","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4151","acetoin catabolism protein AcoB","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4152","probable hydrolase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4329","pyruvate kinase II","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA4329","pyruvate kinase II","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4329","pyruvate kinase II","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4732","glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA4732","glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4732","glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4733","acetyl-coenzyme A synthetase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4733","acetyl-coenzyme A synthetase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4748","triosephosphate isomerase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA4748","triosephosphate isomerase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4748","triosephosphate isomerase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4829","dihydrolipoamide dehydrogenase 3","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA4829","dihydrolipoamide dehydrogenase 3","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4829","dihydrolipoamide dehydrogenase 3","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4899","probable aldehyde dehydrogenase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5015","pyruvate dehydrogenase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA5015","pyruvate dehydrogenase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5015","pyruvate dehydrogenase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5016","dihydrolipoamide acetyltransferase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA5016","dihydrolipoamide acetyltransferase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5016","dihydrolipoamide acetyltransferase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5110","fructose-1,6-bisphosphatase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA5110","fructose-1,6-bisphosphatase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5110","fructose-1,6-bisphosphatase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5131","phosphoglycerate mutase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA5131","phosphoglycerate mutase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5131","phosphoglycerate mutase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5192","phosphoenolpyruvate carboxykinase","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5192","phosphoenolpyruvate carboxykinase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5322","phosphomannomutase AlgC","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5422","hypothetical protein","Glycolysis / Gluconeogenesis","00010","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5422","hypothetical protein","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5427","alcohol dehydrogenase","Glycolysis / Gluconeogenesis","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA5427","alcohol dehydrogenase","Glycolysis / Gluconeogenesis","pae00010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0224","probable aldolase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0552","phosphoglycerate kinase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0555","fructose-1,6-bisphosphate aldolase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1498","pyruvate kinase I","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1770","phosphoenolpyruvate synthase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2323","GapN","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2843","probable aldolase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3001","probable glyceraldehyde-3-phosphate dehydrogenase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3131","probable aldolase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3195","glyceraldehyde 3-phosphate dehydrogenase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3430","probable aldolase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3635","enolase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4329","pyruvate kinase II","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4732","glucose-6-phosphate isomerase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4748","triosephosphate isomerase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA5110","fructose-1,6-bisphosphatase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA5131","phosphoglycerate mutase","glycolysis I (from glucose 6-phosphate)","GLYCOLYSIS","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0224","probable aldolase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0552","phosphoglycerate kinase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0555","fructose-1,6-bisphosphate aldolase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1498","pyruvate kinase I","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1770","phosphoenolpyruvate synthase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2323","GapN","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2843","probable aldolase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3001","probable glyceraldehyde-3-phosphate dehydrogenase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3131","probable aldolase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3195","glyceraldehyde 3-phosphate dehydrogenase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3430","probable aldolase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3635","enolase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4329","pyruvate kinase II","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4748","triosephosphate isomerase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA5110","fructose-1,6-bisphosphatase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA5131","phosphoglycerate mutase","glycolysis II (from fructose 6-phosphate)","PWY-5484","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0224","probable aldolase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0552","phosphoglycerate kinase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0555","fructose-1,6-bisphosphate aldolase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1498","pyruvate kinase I","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2323","GapN","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2843","probable aldolase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3001","probable glyceraldehyde-3-phosphate dehydrogenase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3131","probable aldolase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3193","glucokinase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3195","glyceraldehyde 3-phosphate dehydrogenase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3430","probable aldolase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA3635","enolase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4329","pyruvate kinase II","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4732","glucose-6-phosphate isomerase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA4748","triosephosphate isomerase","glycolysis III (from glucose)","ANAGLYCOLYSIS-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0368","conserved hypothetical protein","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","00534","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5057","poly(3-hydroxyalkanoic acid) depolymerase","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","00534","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5077","OpgH","Glycosaminoglycan biosynthesis - keratan sulfate","00533","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1085","flagellar protein FlgJ","Glycosaminoglycan degradation","00531","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2160","probable glycosyl hydrolase","Glycosaminoglycan degradation","00531","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3005","beta-N-acetyl-D-glucosaminidase","Glycosaminoglycan degradation","00531","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4838","hypothetical protein","Glycosaminoglycan degradation","00531","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0341","prolipoprotein diacylglyceryl transferase","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2477","probable thiol:disulfide interchange protein","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3005","beta-N-acetyl-D-glucosaminidase","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3242","temperature-regulated acyltransferase HtrB1","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3548","alginate o-acetyltransferase AlgI","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3646","UDP-3-O-[3-hydroxylauroyl] glucosamine N-acyltransferase","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3984","apolipoprotein N-acyltransferase","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5056","poly(3-hydroxyalkanoic acid) synthase 1","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5058","poly(3-hydroxyalkanoic acid) synthase 2","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5077","OpgH","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0011","acyltransferase HtrB1","Glycosphingolipid biosynthesis - ganglio series","00604","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0341","prolipoprotein diacylglyceryl transferase","Glycosphingolipid biosynthesis - globo series","00603","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2477","probable thiol:disulfide interchange protein","Glycosphingolipid biosynthesis - globo series","00603","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3005","beta-N-acetyl-D-glucosaminidase","Glycosphingolipid biosynthesis - globo series","00603","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5077","OpgH","Glycosphingolipid biosynthesis - globo series","00603","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0341","prolipoprotein diacylglyceryl transferase","Glycosphingolipid biosynthesis - lacto and neolacto series","00601","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2477","probable thiol:disulfide interchange protein","Glycosphingolipid biosynthesis - lacto and neolacto series","00601","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5077","OpgH","Glycosphingolipid biosynthesis - lacto and neolacto series","00601","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0201","hypothetical protein","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","00563","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1972","conserved hypothetical protein","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","00563","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3310","conserved hypothetical protein","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","00563","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4517","conserved hypothetical protein","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","00563","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5065","ubiquinone biosynthetic protein UbiB","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","00563","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5077","OpgH","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","00563","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0065","hypothetical protein","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0296","Glutamylpolyamine synthetase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0296","Glutamylpolyamine synthetase","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0298","Glutamylpolyamine synthetase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0298","Glutamylpolyamine synthetase","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0482","malate synthase G","Glyoxylate and dicarboxylate metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0482","malate synthase G","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0482","malate synthase G","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0550","conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0550","conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0608","probable phosphoglycolate phosphatase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0608","probable phosphoglycolate phosphatase","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0795","citrate synthase 2","Glyoxylate and dicarboxylate metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0795","citrate synthase 2","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1052","conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1376","isocitrate dehydrogenase kinase/phosphatase","Glyoxylate and dicarboxylate metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA1499","conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1500","probable oxidoreductase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1500","probable oxidoreductase","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1501","conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1501","conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1502","glyoxylate carboligase","Glyoxylate and dicarboxylate metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA1502","glyoxylate carboligase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1502","glyoxylate carboligase","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1562","aconitate hydratase 1","Glyoxylate and dicarboxylate metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA1562","aconitate hydratase 1","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1562","aconitate hydratase 1","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1566","Glutamylpolyamine synthetase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1566","Glutamylpolyamine synthetase","Glyoxylate and dicarboxylate metabolism","pae00630","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1580","citrate synthase","Glyoxylate and dicarboxylate metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA1580","citrate synthase","Glyoxylate and dicarboxylate metabolism","00630","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
